Time,Time Code,Country Name,Country Code,GDP (constant 2015 US$) [NY.GDP.MKTP.KD],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS]
1974,YR1974,Brazil,BRA,5.269E+11,21.84540424,..,..
1974,YR1974,Russian Federation,RUS,..,..,..,..
1974,YR1974,India,IND,2.12914E+11,16.60442799,..,9.10516768
1974,YR1974,China,CHN,2.84346E+11,26.55768152,..,10.33296785
1974,YR1974,South Africa,ZAF,1.34587E+11,23.67457241,..,39.97179351
1975,YR1975,Brazil,BRA,5.54124E+11,23.32888529,..,..
1975,YR1975,Russian Federation,RUS,..,..,..,..
1975,YR1975,India,IND,2.32395E+11,17.71471084,..,10.90250342
1975,YR1975,China,CHN,3.0914E+11,29.04789162,..,9.554576787
1975,YR1975,South Africa,ZAF,1.36869E+11,28.16262212,..,39.81177326
1976,YR1976,Brazil,BRA,6.10961E+11,22.41805602,..,..
1976,YR1976,Russian Federation,RUS,..,..,..,..
1976,YR1976,India,IND,2.3626E+11,18.48894783,..,10.91735744
1976,YR1976,China,CHN,3.04287E+11,29.03720021,..,8.836601835
1976,YR1976,South Africa,ZAF,1.39948E+11,29.20101724,..,36.7796615
1977,YR1977,Brazil,BRA,6.41107E+11,21.3455067,..,..
1977,YR1977,Russian Federation,RUS,..,..,..,..
1977,YR1977,India,IND,2.53401E+11,18.79019263,..,10.72134339
1977,YR1977,China,CHN,3.27321E+11,28.12511381,..,8.384783927
1977,YR1977,South Africa,ZAF,1.39817E+11,28.33113456,..,35.68181528
1978,YR1978,Brazil,BRA,6.7297E+11,22.26512497,..,..
1978,YR1978,Russian Federation,RUS,..,..,..,..
1978,YR1978,India,IND,2.67876E+11,19.39253623,..,10.58701292
1978,YR1978,China,CHN,3.64394E+11,29.34003055,..,9.650247448
1978,YR1978,South Africa,ZAF,1.44032E+11,25.87797486,..,39.50401474
1979,YR1979,Brazil,BRA,7.1846E+11,23.36074238,..,..
1979,YR1979,Russian Federation,RUS,..,..,..,..
1979,YR1979,India,IND,2.53844E+11,20.35431402,..,11.52546532
1979,YR1979,China,CHN,3.92056E+11,28.35144084,..,11.08596881
1979,YR1979,South Africa,ZAF,1.49491E+11,25.79314243,..,43.22268403
1980,YR1980,Brazil,BRA,7.84558E+11,22.67378128,..,..
1980,YR1980,Russian Federation,RUS,..,..,..,..
1980,YR1980,India,IND,2.70943E+11,19.67624017,..,12.58551272
1980,YR1980,China,CHN,4.2277E+11,28.56061326,..,12.42466019
1980,YR1980,South Africa,ZAF,1.59388E+11,26.37678246,..,50.46645689
1981,YR1981,Brazil,BRA,7.51214E+11,23.43039931,..,..
1981,YR1981,Russian Federation,RUS,..,..,..,..
1981,YR1981,India,IND,2.87216E+11,19.86725387,..,12.25532704
1981,YR1981,China,CHN,4.44386E+11,27.25771404,..,15.20185083
1981,YR1981,South Africa,ZAF,1.67933E+11,27.32355424,..,46.79226019
1982,YR1982,Brazil,BRA,7.57449E+11,22.25523897,..,..
1982,YR1982,Russian Federation,RUS,..,..,..,..
1982,YR1982,India,IND,2.97199E+11,21.01451313,..,12.02895889
1982,YR1982,China,CHN,4.84456E+11,28.23941933,..,14.65368029
1982,YR1982,South Africa,ZAF,1.67289E+11,27.06591192,..,42.00034444
1983,YR1983,Brazil,BRA,7.35256E+11,19.43479702,..,..
1983,YR1983,Russian Federation,RUS,..,..,..,..
1983,YR1983,India,IND,3.18862E+11,20.56906776,..,10.63354337
1983,YR1983,China,CHN,5.36633E+11,28.17726888,..,14.31211053
1983,YR1983,South Africa,ZAF,1.642E+11,25.94862895,..,35.67519066
1984,YR1984,Brazil,BRA,7.7496E+11,18.74090871,..,..
1984,YR1984,Russian Federation,RUS,..,..,..,..
1984,YR1984,India,IND,3.31044E+11,20.85042847,..,11.65312708
1984,YR1984,China,CHN,6.18156E+11,29.32104703,..,17.0685774
1984,YR1984,South Africa,ZAF,1.72573E+11,23.63446133,..,39.02195859
1985,YR1985,Brazil,BRA,8.35794E+11,17.91785449,..,..
1985,YR1985,Russian Federation,RUS,..,..,..,..
1985,YR1985,India,IND,3.48438E+11,21.80329777,..,10.78139967
1985,YR1985,China,CHN,7.01179E+11,30.43124079,..,22.4641566
1985,YR1985,South Africa,ZAF,1.70482E+11,23.04763363,..,42.83628182
1986,YR1986,Brazil,BRA,8.98395E+11,19.96083966,..,..
1986,YR1986,Russian Federation,RUS,..,..,..,..
1986,YR1986,India,IND,3.65082E+11,22.90091499,..,9.968432199
1986,YR1986,China,CHN,7.63934E+11,30.95956194,..,24.57321447
1986,YR1986,South Africa,ZAF,1.70512E+11,20.44350845,..,42.77431366
1987,YR1987,Brazil,BRA,9.30109E+11,23.17362585,..,..
1987,YR1987,Russian Federation,RUS,..,..,..,..
1987,YR1987,India,IND,3.79559E+11,24.44362326,..,10.02495814
1987,YR1987,China,CHN,8.52989E+11,30.55843699,..,25.26923808
1987,YR1987,South Africa,ZAF,1.74094E+11,18.37089799,..,37.80567813
1988,YR1988,Brazil,BRA,9.29551E+11,24.34364824,..,..
1988,YR1988,Russian Federation,RUS,..,..,..,..
1988,YR1988,India,IND,4.16102E+11,23.57197889,..,10.9026049
1988,YR1988,China,CHN,9.48717E+11,31.05282202,..,25.20175142
1988,YR1988,South Africa,ZAF,1.81406E+11,19.58305836,..,39.04138958
1989,YR1989,Brazil,BRA,9.58924E+11,26.90278704,..,12.75108035
1989,YR1989,Russian Federation,RUS,1.19741E+12,31.76265271,..,..
1989,YR1989,India,IND,4.40849E+11,24.57681356,..,12.30264405
1989,YR1989,China,CHN,9.88623E+11,25.60606766,..,24.4757095
1989,YR1989,South Africa,ZAF,1.85751E+11,20.94391221,..,37.65560594
1990,YR1990,Brazil,BRA,9.17211E+11,20.66358441,..,11.67567745
1990,YR1990,Russian Federation,RUS,1.16149E+12,28.70226638,..,..
1990,YR1990,India,IND,4.65243E+11,26.08217017,..,12.94445948
1990,YR1990,China,CHN,1.02738E+12,23.98875364,..,29.25646759
1990,YR1990,South Africa,ZAF,1.8516E+11,19.63468219,..,33.27934863
1991,YR1991,Brazil,BRA,9.26678E+11,18.1090137,..,13.39600571
1991,YR1991,Russian Federation,RUS,1.10287E+12,23.26778691,..,..
1991,YR1991,India,IND,4.7016E+11,24.58433379,..,14.13337468
1991,YR1991,China,CHN,1.12254E+12,25.70379885,..,32.8275425
1991,YR1991,South Africa,ZAF,1.83275E+11,17.86119891,..,31.1441185
1992,YR1992,Brazil,BRA,9.21637E+11,18.42325903,..,15.082041
1992,YR1992,Russian Federation,RUS,9.4261E+11,23.93477117,..,17.98342346
1992,YR1992,India,IND,4.95936E+11,25.08949989,..,14.99159963
1992,YR1992,China,CHN,1.28222E+12,30.34731964,..,33.56572571
1992,YR1992,South Africa,ZAF,1.79358E+11,16.36878133,..,29.38155342
1993,YR1993,Brazil,BRA,9.67024E+11,19.28311611,..,15.09437951
1993,YR1993,Russian Federation,RUS,8.609E+11,20.38948166,..,18.48655729
