Time,Time Code,Country Name,Country Code,Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS]
1974,YR1974,Brazil,BRA,..,..,21.84540424
1974,YR1974,Russian Federation,RUS,..,..,..
1974,YR1974,India,IND,9.10516768,..,16.60442799
1974,YR1974,China,CHN,10.33296785,..,26.55768152
1974,YR1974,South Africa,ZAF,39.97179351,..,23.67457241
1975,YR1975,Brazil,BRA,..,..,23.32888529
1975,YR1975,Russian Federation,RUS,..,..,..
1975,YR1975,India,IND,10.90250342,..,17.71471084
1975,YR1975,China,CHN,9.554576787,..,29.04789162
1975,YR1975,South Africa,ZAF,39.81177326,..,28.16262212
1976,YR1976,Brazil,BRA,..,..,22.41805602
1976,YR1976,Russian Federation,RUS,..,..,..
1976,YR1976,India,IND,10.91735744,..,18.48894783
1976,YR1976,China,CHN,8.836601835,..,29.03720021
1976,YR1976,South Africa,ZAF,36.7796615,..,29.20101724
1977,YR1977,Brazil,BRA,..,..,21.3455067
1977,YR1977,Russian Federation,RUS,..,..,..
1977,YR1977,India,IND,10.72134339,..,18.79019263
1977,YR1977,China,CHN,8.384783927,..,28.12511381
1977,YR1977,South Africa,ZAF,35.68181528,..,28.33113456
1978,YR1978,Brazil,BRA,..,..,22.26512497
1978,YR1978,Russian Federation,RUS,..,..,..
1978,YR1978,India,IND,10.58701292,..,19.39253623
1978,YR1978,China,CHN,9.650247448,..,29.34003055
1978,YR1978,South Africa,ZAF,39.50401474,..,25.87797486
1979,YR1979,Brazil,BRA,..,..,23.36074238
1979,YR1979,Russian Federation,RUS,..,..,..
1979,YR1979,India,IND,11.52546532,..,20.35431402
1979,YR1979,China,CHN,11.08596881,..,28.35144084
1979,YR1979,South Africa,ZAF,43.22268403,..,25.79314243
1980,YR1980,Brazil,BRA,..,..,22.67378128
1980,YR1980,Russian Federation,RUS,..,..,..
1980,YR1980,India,IND,12.58551272,..,19.67624017
