Country Name,Country Code,Time,Time Code,GDP (constant 2015 US$) [NY.GDP.MKTP.KD],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS]
China,CHN,1999,YR1999,2553332587339.78,32.9640351450219,0.749629974365234,32.5371258866265
China,CHN,2000,YR2000,2770112908910.8,39.1550075723294,0.893159985542297,32.5774175916893
China,CHN,2001,YR2001,3001022137975.68,38.0506688537492,0.940330028533936,33.4535263698762
China,CHN,2002,YR2002,3275124419970.88,42.2129658067877,1.05786001682281,35.058366051242
China,CHN,2003,YR2003,3603882407660.62,51.255675020796,1.12037003040314,38.2576853279797
China,CHN,2004,YR2004,3968365429308.67,59.0460484271833,1.21498000621796,39.5296637264076
China,CHN,2005,YR2005,4420544471455.51,62.2016695279162,1.30791997909546,39.4258155674171
China,CHN,2006,YR2006,4982879973774.34,63.9666823732529,1.36854004859924,38.725488103536
China,CHN,2007,YR2007,5691986693352.65,61.3062263756512,1.37369000911713,37.8924683383816
China,CHN,2008,YR2008,6241302053203.15,55.7917305485564,1.44591999053955,39.06117808664
China,CHN,2009,YR2009,6827904909025.13,43.2706517542773,1.66480004787445,43.8115710182923
China,CHN,2010,YR2010,7554112071655.21,48.8566998336043,1.7137199640274,43.9293047684864
China,CHN,2011,YR2011,8275592638220.64,48.2267491051973,1.78033995628357,43.8613614639267
China,CHN,2012,YR2012,8926363432837.86,45.323898005028,1.91214001178741,44.2498319895738
China,CHN,2013,YR2013,9619598215267.82,43.4565336585296,1.99785995483398,44.5187655498191
China,CHN,2014,YR2014,10333926843387.4,41.0622375550454,2.02242994308472,43.8560937022233
China,CHN,2015,YR2015,11061572618594.8,35.7366365190684,2.05700993537903,42.0943282756849
China,CHN,2016,YR2016,11819153423314,32.8091700142104,2.10033011436462,41.5523649226821
China,CHN,2017,YR2017,12640253743683.8,33.3629088277166,2.11602997779846,41.8611852976787
China,CHN,2018,YR2018,13493442283238.1,33.267172746045,2.14057993888855,42.8430311365621
China,CHN,2019,YR2019,14296369668095.8,32.057794791345,2.2446300983429,42.822584351398
China,CHN,2020,YR2020,14616413683107.3,31.6993266521609,2.40666007995605,42.4860785475588
China,CHN,2021,YR2021,15851276922881.8,33.9211791760882,2.4326000213623,41.9512539844222
China,CHN,2022,YR2022,16325084918817.2,35.1256124638361,..,41.9727734377038
China,CHN,2023,YR2023,..,..,..,..
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 03/28/2024,,,,,,,
