Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,59.17355372,60.48682703,73.57771536,73.1815261,96.23374726,261.67713,251.8100233,240.4822073,224.432287,222.9170897,273.065587,250.7436178,161.1060047,196.3544099,272.5449384,252.8399032,178.6584845,217.6495507,311.5089713,368.8108529,382.1793743,385.8619839,403.3380533,172.3318801,67.61501014,420.6820411,131.347086,60.70715654,57.65269223,53.32600247,47.6599821,40.71233259,43.52624408,39.37217857,37.12523583,38.12213395,44.54527974,
Africa Eastern and Southern,AFE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,41.65223369,40.15218981,38.90925106,39.81440869,42.81833953,42.22386877,39.67432161,39.14115487,38.00265169,37.18087776,37.39960232,38.29631771,35.49580353,36.07281704,41.38162799,40.24687942,38.22288847,37.61162581,39.52632882,42.49861352,49.6476349,44.66138367,40.17458648,35.75063441,37.39693946,39.67861939,38.54367104,37.25746643,37.26495173,36.10935246,32.30697859,28.99666911,34.27634981,34.60769759,37.31995569,38.96077922,41.52773223,41.55661517,39.75092313,39.63856763,40.32496282,43.41800068,44.38050945,42.13845907,43.59887205,45.45902102,48.3582004,51.03568913,58.2856394,46.03363962,48.04175764,52.57878124,52.80094238,53.30604151,51.1598204,46.417377,42.8106742,41.63921919,47.17912417,44.66995088,42.00370132,48.30490086,50.91757488,
Afghanistan,AFG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,25.47520503,27.69230736,31.82926765,25.9615357,23.49999869,19.37086148,13.92857176,11.47410301,13.54368899,14.76340659,11.43584727,13.16142315,17.92479199,18.17307765,21.94329956,23.957747,21.59999991,21.46726801,21.69696898,24.31082982,41.49134534,45.41811807,,,,,,,,,,,,,,,,,,,,,66.70672197,49.65773929,47.50333133,46.02421327,45.32572486,35.65901327,35.21510957,30.11399832,34.95059508,38.70239781,47.71106946,45.01544893,40.488598,43.34641937,39.35623054,41.52834437,45.87546568,40.64481817,36.65577272,46.15708312,46.57237847,
Africa Western and Central,AFW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,31.18384306,31.25219115,28.44375682,28.97215691,30.21054297,30.62570475,28.49952056,30.51240234,30.69207943,31.24059128,27.22620863,36.60240606,33.48267525,37.57146605,48.96638602,47.66060627,49.4822019,58.45526876,55.59460727,53.15422826,59.81725887,28.68585492,25.93514474,30.17843518,34.57037731,34.96226918,27.88092437,29.81827568,29.92557541,36.4906825,36.51155053,35.15228592,37.38400478,33.39289796,30.41347346,24.85222476,21.52888105,21.1640118,17.52378381,41.09466544,45.59176017,44.51728534,36.80306376,39.79554941,44.01869847,46.38167348,42.91892239,43.65466063,46.99997876,39.74296303,42.85780132,49.66151951,45.64321125,39.190885,37.90207978,31.26147221,29.94618242,32.28212104,34.4715453,33.10494932,28.40224509,33.52820068,37.79442351,
Angola,AGO,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,54.11122636,63.34373769,45.28411037,48.46381114,53.60897918,48.23636289,34.16801536,42.90864338,44.30710524,42.64334876,48.84180557,45.73515714,69.12758421,85.87127551,100.7588226,92.25909606,109.1740689,99.06959268,86.4074766,134.3426543,120.0600927,108.6942016,79.08100396,84.14219128,81.97585174,87.80418951,77.58534683,88.95386604,95.88579194,90.30085565,80.26542051,78.30592861,74.03970448,71.46640243,64.53781262,59.53163631,77.00484204,66.59777004,71.18377607,69.66913873,64.89069465,68.94355369,64.69021129,
Albania,ALB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.08062699,30.71337585,30.07068459,46.38223025,93.68651184,58.54981382,39.55446227,38.28207351,35.78526672,34.75736741,40.61329148,46.41791819,38.84660903,41.66134646,42.40963797,41.20113235,40.55848911,40.70999196,43.27751281,49.35693231,51.25238051,46.86070805,49.88711838,56.86243341,55.56892967,56.81647189,57.8387865,54.61561626,55.40754809,58.08877911,58.02819973,55.92194022,53.26216163,62.89260782,67.17987673,
Andorra,AND,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.46327098,49.60782276,50.09300731,53.19715547,54.00167594,,,,,
Arab World,ARB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,49.64763309,46.46202932,37.22880085,43.30416211,41.10546037,38.27707475,39.35901005,36.67029759,41.29224293,41.6295789,40.99982015,44.01133362,44.63790796,51.38518804,72.75166037,68.51166687,66.39151163,67.54183791,65.13478705,68.00739983,73.08548401,74.46759428,67.7424468,58.36412543,53.81537791,48.68280501,40.06979404,40.4024663,46.78336065,48.65141056,37.6153711,48.20535182,52.56804185,49.67146719,47.90106938,50.9584794,53.82930445,51.84505728,46.80722627,46.79838365,52.53440923,51.33931019,53.18116332,57.67988215,64.83983421,69.13633105,69.21007111,73.06347166,78.04216553,67.42060948,67.90082286,78.32926749,81.03684746,80.36586652,75.12631689,68.01285502,62.45210229,65.23345139,70.10712893,69.90202146,63.04055299,73.60971412,79.72210926,
United Arab Emirates,ARE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,67.57138527,66.99575092,59.06695402,60.97385499,66.02902949,70.45089851,64.91744808,60.52843087,58.85991561,56.05631854,57.45542548,50.26571701,53.8849778,56.68261294,66.57663745,68.52467589,74.06478378,77.74086243,83.80019295,82.92373673,79.31106176,92.28742854,94.5344208,87.77744644,80.7562531,81.31697979,82.95967378,86.33971919,95.86850942,110.3194281,111.805908,110.5923935,127.4650778,139.3265823,142.7437469,133.4292495,147.428141,160.228751,161.1102316,149.493595,152.2904017,152.0917804,146.3025391,148.1449107,162.1750404,166.6102888,186.1099395,188.0052734,
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,11.27043566,11.23299449,13.80961357,10.89876904,11.16946036,11.38992185,17.98520362,11.62270357,10.67520645,11.84855682,12.63064264,14.44453076,15.92400935,17.48044964,19.40182818,19.3495028,17.2264684,18.11904312,17.44085107,35.44676691,34.01601183,34.62997491,34.73936257,34.70027111,34.94759584,35.25851645,28.36776901,29.50233943,29.8722199,27.09904323,27.24604172,25.48641191,19.67030526,20.40455697,19.51141393,24.24889031,25.51397097,25.20813808,28.92380734,26.93044041,
